Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Disease
Runny Nose,Abdominal Pain,Blurred Vision,Chest Pain,Fever,Loss of Smell,Loss of Appetite,Flu
Joint Pain,Chest Pain,Swollen Lymph Nodes,Dizziness,Fatigue,Cough,High Blood Pressure,Hypotension
Fever,Rash,Weakness,Rapid Heart Rate,Loss of Taste,Loss of Appetite,Muscle Pain,Scarlet Fever
Muscle Pain,Dizziness,Loss of Smell,Shortness of Breath,Chills,Joint Pain,Swollen Lymph Nodes,Unknown
Fatigue,Runny Nose,Vomiting,Muscle Pain,Confusion,High Blood Pressure,Difficulty Swallowing,Unknown
Rapid Heart Rate,Fever,Skin Peeling,Abdominal Pain,Chest Pain,Chills,Loss of Taste,Unknown
High Blood Pressure,Loss of Smell,Runny Nose,Muscle Pain,Ear Pain,Rapid Heart Rate,Dizziness,Migraine
Chills,Cough,Sore Throat,High Blood Pressure,Runny Nose,Rash,Loss of Smell,Cold
Ear Pain,Rapid Heart Rate,Dizziness,Shortness of Breath,Swollen Lymph Nodes,Abdominal Pain,Blurred Vision,Hypertension
Loss of Appetite,Runny Nose,Ear Pain,Vomiting,Rash,Confusion,Sweating,Unknown
Skin Peeling,Chills,Vomiting,Blurred Vision,Cough,Loss of Taste,Skin Redness,Unknown
Chest Pain,Blurred Vision,Loss of Taste,Rash,Skin Peeling,Headache,Fatigue,Scarlet Fever
Abdominal Pain,Loss of Appetite,Weakness,Rash,Sweating,Muscle Pain,Swollen Lymph Nodes,Unknown
Difficulty Swallowing,Loss of Taste,Chills,Loss of Smell,Dizziness,High Blood Pressure,Diarrhea,Hypertension
Runny Nose,Confusion,Swollen Lymph Nodes,Sweating,Low Blood Pressure,High Blood Pressure,Loss of Smell,Unknown
Skin Redness,Headache,Fatigue,Rapid Heart Rate,Loss of Appetite,Weakness,Low Blood Pressure,Unknown
Vomiting,Dizziness,Low Blood Pressure,Runny Nose,Sore Throat,Skin Peeling,Weakness,Unknown
Rapid Heart Rate,Difficulty Swallowing,Weakness,Abdominal Pain,Skin Peeling,Joint Pain,Rash,Dengue
Vomiting,Difficulty Swallowing,Rapid Heart Rate,Joint Pain,Loss of Appetite,High Blood Pressure,Skin Redness,Ear Infection
Muscle Pain,Diarrhea,Rash,Cough,Dizziness,Low Blood Pressure,Blurred Vision,Pneumonia
Swollen Lymph Nodes,Muscle Pain,Sore Throat,Loss of Smell,Nausea,Vomiting,Sweating,Unknown
Loss of Appetite,Fever,Rash,Low Blood Pressure,Chills,Rapid Heart Rate,Difficulty Swallowing,Malaria
Joint Pain,Rapid Heart Rate,Abdominal Pain,Fever,Rash,Vomiting,Chest Pain,Hypotension
Loss of Taste,Blurred Vision,Headache,Rapid Heart Rate,Vomiting,Confusion,Abdominal Pain,Flu
Joint Pain,Sore Throat,Ear Pain,Rash,Loss of Taste,Shortness of Breath,Muscle Pain,Unknown
Sore Throat,Confusion,Skin Peeling,Blurred Vision,Rapid Heart Rate,Muscle Pain,Headache,Hypotension
Skin Peeling,Confusion,Sweating,Muscle Pain,Ear Pain,Loss of Smell,High Blood Pressure,Unknown
Chills,Skin Redness,Muscle Pain,Dizziness,Difficulty Swallowing,Cough,Ear Pain,COVID-19
Skin Peeling,Nausea,Rapid Heart Rate,Confusion,Runny Nose,Sweating,Cough,Unknown
Low Blood Pressure,Rash,High Blood Pressure,Headache,Runny Nose,Sore Throat,Diarrhea,Migraine
Chills,Ear Pain,Runny Nose,Sore Throat,Confusion,Loss of Smell,Low Blood Pressure,Unknown
Chest Pain,Chills,Dizziness,Blurred Vision,Loss of Smell,Nausea,Shortness of Breath,Migraine
Sore Throat,Ear Pain,Runny Nose,Skin Peeling,Low Blood Pressure,Difficulty Swallowing,Skin Redness,Unknown
Swollen Lymph Nodes,Rash,Loss of Appetite,Cough,Confusion,Loss of Taste,High Blood Pressure,Unknown
Sweating,Skin Redness,Loss of Smell,Low Blood Pressure,Cough,Headache,Swollen Lymph Nodes,Strep Throat
Dizziness,Ear Pain,Skin Peeling,Swollen Lymph Nodes,Vomiting,Sore Throat,Confusion,Meningitis
Difficulty Swallowing,Loss of Smell,Nausea,Ear Pain,Vomiting,Headache,Low Blood Pressure,Unknown
Chills,Shortness of Breath,Skin Peeling,Sore Throat,Cough,Confusion,Difficulty Swallowing,Malaria
Cough,Difficulty Swallowing,Confusion,Weakness,Joint Pain,Loss of Smell,Headache,Migraine
Cough,Ear Pain,Headache,High Blood Pressure,Loss of Appetite,Swollen Lymph Nodes,Joint Pain,Flu
Joint Pain,Headache,Diarrhea,Rash,Difficulty Swallowing,Low Blood Pressure,Chills,Malaria
Nausea,Sweating,Chills,Skin Redness,Difficulty Swallowing,High Blood Pressure,Rapid Heart Rate,Unknown
Difficulty Swallowing,Cough,Loss of Appetite,Runny Nose,Skin Peeling,Low Blood Pressure,Dizziness,Migraine
High Blood Pressure,Chills,Diarrhea,Sweating,Sore Throat,Cough,Ear Pain,Strep Throat
Sweating,Rash,Ear Pain,Skin Redness,Diarrhea,Fatigue,High Blood Pressure,Flu
Diarrhea,Chest Pain,Loss of Smell,Chills,Fatigue,Ear Pain,Muscle Pain,Unknown
Vomiting,Chest Pain,Confusion,Cough,High Blood Pressure,Loss of Taste,Runny Nose,Unknown
Weakness,Loss of Smell,Blurred Vision,Cough,Chest Pain,Sweating,Loss of Appetite,COVID-19
Confusion,Ear Pain,Nausea,Vomiting,Muscle Pain,Weakness,Loss of Smell,Meningitis
Cough,Ear Pain,Loss of Taste,Sore Throat,Difficulty Swallowing,Chest Pain,Sweating,Unknown
Difficulty Swallowing,Muscle Pain,Skin Redness,Loss of Appetite,Skin Peeling,Fatigue,Confusion,Ear Infection
Swollen Lymph Nodes,Headache,Ear Pain,Muscle Pain,Runny Nose,Diarrhea,Fever,Malaria
Sweating,Sore Throat,Confusion,Dizziness,Joint Pain,Blurred Vision,Rash,Unknown
Sore Throat,High Blood Pressure,Diarrhea,Low Blood Pressure,Weakness,Runny Nose,Confusion,Unknown
Skin Peeling,Chills,Dizziness,Blurred Vision,Difficulty Swallowing,Sore Throat,Diarrhea,Unknown
Vomiting,Rapid Heart Rate,Diarrhea,Rash,Dizziness,Runny Nose,Blurred Vision,Dengue
Loss of Appetite,Loss of Taste,Shortness of Breath,Runny Nose,Rash,Cough,Diarrhea,Unknown
High Blood Pressure,Rapid Heart Rate,Nausea,Chest Pain,Loss of Appetite,Chills,Confusion,Meningitis
Skin Redness,Chest Pain,Ear Pain,Shortness of Breath,Confusion,Fatigue,Weakness,Hypertension
Fatigue,Nausea,Diarrhea,Difficulty Swallowing,Sweating,Joint Pain,Sore Throat,Strep Throat
Low Blood Pressure,Ear Pain,Difficulty Swallowing,Rapid Heart Rate,Blurred Vision,Swollen Lymph Nodes,Muscle Pain,Unknown
Loss of Taste,Blurred Vision,Loss of Appetite,Abdominal Pain,Diarrhea,Muscle Pain,Fatigue,Flu
Rash,Difficulty Swallowing,Runny Nose,Chest Pain,Muscle Pain,Rapid Heart Rate,Chills,Unknown
Low Blood Pressure,Loss of Taste,Diarrhea,Confusion,Chest Pain,Joint Pain,Runny Nose,Unknown
Shortness of Breath,Vomiting,Loss of Smell,Nausea,Rash,Loss of Appetite,Dizziness,Unknown
Joint Pain,Ear Pain,Fever,Cough,Vomiting,Difficulty Swallowing,Rash,Scarlet Fever
Headache,Abdominal Pain,Dizziness,Rapid Heart Rate,Fever,Loss of Appetite,Chest Pain,Flu
Fatigue,Chest Pain,Cough,Swollen Lymph Nodes,Blurred Vision,Muscle Pain,Difficulty Swallowing,Strep Throat
Sore Throat,Abdominal Pain,Low Blood Pressure,Chest Pain,Loss of Appetite,Sweating,Ear Pain,Unknown
Rapid Heart Rate,Rash,Blurred Vision,Vomiting,Sweating,Skin Peeling,Diarrhea,Dengue
High Blood Pressure,Skin Peeling,Chills,Low Blood Pressure,Rash,Loss of Smell,Weakness,Dengue
Loss of Taste,Chest Pain,Skin Redness,Cough,Joint Pain,Diarrhea,Blurred Vision,Dengue
Rash,Vomiting,Cough,Loss of Smell,Joint Pain,Nausea,Abdominal Pain,Typhoid
Rash,Rapid Heart Rate,Joint Pain,Loss of Taste,Nausea,Loss of Smell,Chest Pain,Unknown
Vomiting,Loss of Appetite,Dizziness,Blurred Vision,High Blood Pressure,Shortness of Breath,Chest Pain,Pneumonia
High Blood Pressure,Cough,Abdominal Pain,Skin Redness,Ear Pain,Blurred Vision,Loss of Appetite,Pneumonia
Joint Pain,Fatigue,Blurred Vision,Runny Nose,Muscle Pain,Loss of Smell,Diarrhea,Unknown
Headache,Joint Pain,Skin Peeling,Dizziness,Loss of Appetite,Loss of Taste,Sore Throat,Malaria
Muscle Pain,Fever,High Blood Pressure,Rapid Heart Rate,Loss of Taste,Chest Pain,Diarrhea,Scarlet Fever
Chills,Shortness of Breath,High Blood Pressure,Loss of Smell,Ear Pain,Confusion,Rash,Unknown
Cough,Diarrhea,Confusion,Loss of Taste,Dizziness,Skin Redness,Fatigue,Meningitis
Muscle Pain,Sweating,Headache,Rash,Abdominal Pain,Loss of Smell,Loss of Appetite,Unknown
Dizziness,Swollen Lymph Nodes,Joint Pain,Difficulty Swallowing,Shortness of Breath,Vomiting,Abdominal Pain,Hypertension
Vomiting,Rash,Muscle Pain,Confusion,Joint Pain,Runny Nose,Loss of Taste,Unknown
Dizziness,Confusion,Vomiting,Skin Redness,Chest Pain,Loss of Smell,Loss of Appetite,Unknown
Joint Pain,Weakness,Fatigue,Fever,Confusion,Blurred Vision,Cough,Ear Infection
Chest Pain,Loss of Taste,Shortness of Breath,Confusion,Ear Pain,Diarrhea,Skin Redness,COVID-19
Weakness,Ear Pain,Chills,Confusion,Shortness of Breath,Sweating,Runny Nose,Unknown
Rash,Blurred Vision,Runny Nose,Rapid Heart Rate,Chills,Sweating,Chest Pain,Cold
Skin Redness,Loss of Smell,Abdominal Pain,Fever,Loss of Taste,Cough,High Blood Pressure,Cold
Nausea,Rash,Sweating,Loss of Appetite,Fever,Cough,Blurred Vision,Scarlet Fever
Dizziness,Runny Nose,Sweating,Shortness of Breath,Cough,Weakness,Loss of Appetite,Malaria
Difficulty Swallowing,Confusion,Runny Nose,Low Blood Pressure,Loss of Taste,Muscle Pain,Cough,COVID-19
Diarrhea,Weakness,Low Blood Pressure,Rapid Heart Rate,Vomiting,Headache,Loss of Taste,Hypotension
Skin Redness,Fatigue,Nausea,Muscle Pain,Blurred Vision,Loss of Taste,Skin Peeling,Unknown
Fatigue,Sweating,Blurred Vision,Loss of Smell,Diarrhea,Chest Pain,Weakness,Unknown
Chills,Vomiting,Ear Pain,Shortness of Breath,Weakness,Muscle Pain,Loss of Taste,Hypotension
Swollen Lymph Nodes,Cough,Low Blood Pressure,Nausea,Muscle Pain,Chest Pain,Fatigue,Typhoid
Headache,Abdominal Pain,Diarrhea,Swollen Lymph Nodes,Difficulty Swallowing,Fever,Sweating,Migraine
High Blood Pressure,Nausea,Runny Nose,Swollen Lymph Nodes,Headache,Fever,Fatigue,COVID-19
Sore Throat,Dizziness,Diarrhea,Skin Redness,Loss of Smell,Fever,Nausea,Typhoid
Swollen Lymph Nodes,Rapid Heart Rate,Vomiting,Chest Pain,Cough,Loss of Taste,Headache,Food Poisoning
Loss of Smell,Fever,Runny Nose,Muscle Pain,Headache,Sweating,Dizziness,Scarlet Fever
Shortness of Breath,Skin Redness,Blurred Vision,Dizziness,Cough,Abdominal Pain,High Blood Pressure,Cold
Fever,Abdominal Pain,Diarrhea,Confusion,Low Blood Pressure,Sore Throat,Chills,Typhoid
Headache,Skin Peeling,Blurred Vision,Loss of Taste,Skin Redness,Abdominal Pain,Loss of Smell,Unknown
Muscle Pain,High Blood Pressure,Ear Pain,Rash,Loss of Taste,Swollen Lymph Nodes,Chest Pain,Unknown
Difficulty Swallowing,Loss of Smell,Shortness of Breath,Muscle Pain,Sore Throat,Swollen Lymph Nodes,Rapid Heart Rate,Unknown
Diarrhea,Chest Pain,Loss of Taste,Skin Peeling,Chills,Difficulty Swallowing,Confusion,Unknown
Nausea,Ear Pain,Low Blood Pressure,Headache,Difficulty Swallowing,Muscle Pain,Sweating,Unknown
Loss of Smell,Cough,Sweating,Blurred Vision,Difficulty Swallowing,Confusion,Vomiting,Migraine
Cough,Chest Pain,Skin Redness,Muscle Pain,Chills,Loss of Taste,Rapid Heart Rate,Unknown
Chest Pain,Chills,Nausea,Loss of Smell,Rapid Heart Rate,Blurred Vision,Muscle Pain,Pneumonia
Loss of Smell,Low Blood Pressure,Muscle Pain,Shortness of Breath,Fever,Cough,Dizziness,Flu
Vomiting,Skin Peeling,Difficulty Swallowing,Nausea,Runny Nose,Skin Redness,Shortness of Breath,COVID-19
Nausea,Shortness of Breath,Fever,Sore Throat,Muscle Pain,Ear Pain,Weakness,Hypotension
Skin Peeling,Rash,Nausea,Headache,Sore Throat,Fatigue,Muscle Pain,Meningitis
Joint Pain,Headache,Shortness of Breath,Diarrhea,Cough,Nausea,Muscle Pain,Unknown
Rash,Chills,Runny Nose,Confusion,Skin Peeling,Dizziness,Weakness,Unknown
Abdominal Pain,Loss of Smell,Rapid Heart Rate,Headache,Vomiting,Loss of Taste,Skin Peeling,COVID-19
Swollen Lymph Nodes,Ear Pain,Joint Pain,Diarrhea,Nausea,Skin Peeling,High Blood Pressure,Scarlet Fever
Rapid Heart Rate,Ear Pain,Loss of Taste,Skin Redness,Runny Nose,Skin Peeling,Confusion,Unknown
Rash,Abdominal Pain,Shortness of Breath,Loss of Taste,Rapid Heart Rate,Sore Throat,Blurred Vision,Dengue
Weakness,Confusion,Rash,Runny Nose,Chest Pain,Blurred Vision,Abdominal Pain,Unknown
Swollen Lymph Nodes,Sore Throat,Dizziness,Sweating,Loss of Appetite,Blurred Vision,Fever,Malaria
Weakness,Skin Peeling,Nausea,Fever,Low Blood Pressure,Joint Pain,Rash,Dengue
Fatigue,Chills,Ear Pain,Runny Nose,Blurred Vision,Skin Redness,Skin Peeling,Unknown
Fever,Abdominal Pain,Chills,Dizziness,Headache,Confusion,Blurred Vision,Typhoid
Loss of Smell,Blurred Vision,Runny Nose,Loss of Taste,Fatigue,Fever,Nausea,COVID-19
Muscle Pain,Difficulty Swallowing,Nausea,Loss of Appetite,Chills,Headache,Ear Pain,Typhoid
Rapid Heart Rate,Rash,Chest Pain,Runny Nose,Headache,Nausea,Vomiting,Cold
Rapid Heart Rate,Rash,Chest Pain,Skin Redness,Runny Nose,Loss of Taste,Diarrhea,Unknown
Muscle Pain,Dizziness,High Blood Pressure,Swollen Lymph Nodes,Vomiting,Cough,Diarrhea,Hypotension
Cough,Nausea,Rash,Vomiting,Skin Redness,Abdominal Pain,Joint Pain,Migraine
Vomiting,Loss of Taste,Muscle Pain,Rash,Abdominal Pain,Loss of Appetite,Dizziness,Unknown
Joint Pain,Shortness of Breath,Low Blood Pressure,Fever,Fatigue,Nausea,Dizziness,Typhoid
Runny Nose,Fever,Loss of Appetite,Weakness,Muscle Pain,Dizziness,Sweating,Meningitis
Chest Pain,Low Blood Pressure,Fever,Runny Nose,Diarrhea,Ear Pain,Skin Redness,Pneumonia
Cough,Diarrhea,Runny Nose,Fatigue,Swollen Lymph Nodes,Vomiting,Rash,Unknown
Fatigue,Loss of Taste,Shortness of Breath,Skin Redness,Loss of Smell,Difficulty Swallowing,Ear Pain,Unknown
Difficulty Swallowing,Headache,Skin Peeling,Dizziness,Skin Redness,Joint Pain,High Blood Pressure,Hypertension
Loss of Smell,Fever,Ear Pain,Diarrhea,Sweating,Low Blood Pressure,Headache,Strep Throat
Loss of Taste,High Blood Pressure,Loss of Appetite,Blurred Vision,Muscle Pain,Nausea,Headache,Food Poisoning
Shortness of Breath,Joint Pain,High Blood Pressure,Sore Throat,Headache,Loss of Taste,Difficulty Swallowing,Meningitis
Diarrhea,Abdominal Pain,Chills,Vomiting,Shortness of Breath,Fatigue,High Blood Pressure,Typhoid
Rash,Joint Pain,Sweating,Nausea,Chills,Muscle Pain,Weakness,Unknown
Loss of Taste,Loss of Smell,Skin Redness,Dizziness,Swollen Lymph Nodes,Muscle Pain,Difficulty Swallowing,Unknown
Fever,Skin Redness,Headache,Muscle Pain,Sweating,Chest Pain,Blurred Vision,COVID-19
Confusion,Ear Pain,Loss of Taste,Cough,Weakness,Rash,Fatigue,Hypertension
Rash,Loss of Taste,Muscle Pain,Chills,Swollen Lymph Nodes,Ear Pain,Skin Peeling,Dengue
Weakness,Chest Pain,Skin Redness,Vomiting,Joint Pain,Nausea,Ear Pain,Ear Infection
Fatigue,Runny Nose,Muscle Pain,Loss of Appetite,Chills,Difficulty Swallowing,Skin Redness,COVID-19
Nausea,Low Blood Pressure,Headache,Shortness of Breath,Loss of Smell,Dizziness,Swollen Lymph Nodes,Flu
Headache,Weakness,Loss of Taste,Nausea,Low Blood Pressure,Sore Throat,Confusion,Hypertension
Weakness,Nausea,Shortness of Breath,Difficulty Swallowing,Muscle Pain,Rash,Sore Throat,Unknown
Loss of Smell,Chest Pain,Cough,Swollen Lymph Nodes,Fever,Sore Throat,Muscle Pain,COVID-19
Diarrhea,Loss of Taste,High Blood Pressure,Dizziness,Runny Nose,Loss of Appetite,Swollen Lymph Nodes,Unknown
Difficulty Swallowing,Sweating,Blurred Vision,Diarrhea,Cough,Weakness,Skin Redness,Food Poisoning
Nausea,Shortness of Breath,Difficulty Swallowing,Diarrhea,Rapid Heart Rate,High Blood Pressure,Ear Pain,Unknown
Rash,Sweating,Fatigue,Nausea,Chest Pain,Diarrhea,Loss of Appetite,Cold
Dizziness,Rash,Vomiting,Weakness,Skin Peeling,High Blood Pressure,Runny Nose,Scarlet Fever
Fatigue,Swollen Lymph Nodes,Chest Pain,Shortness of Breath,Low Blood Pressure,Skin Redness,Blurred Vision,Unknown
Low Blood Pressure,Muscle Pain,Rash,Joint Pain,Dizziness,Blurred Vision,Fever,Pneumonia
Headache,Diarrhea,Runny Nose,Blurred Vision,Swollen Lymph Nodes,Weakness,Sore Throat,Scarlet Fever
Confusion,Sore Throat,Fatigue,Runny Nose,Skin Redness,Difficulty Swallowing,Skin Peeling,Unknown
Difficulty Swallowing,Weakness,Loss of Taste,Abdominal Pain,Diarrhea,Shortness of Breath,Chest Pain,Malaria
Rapid Heart Rate,Confusion,Chills,Blurred Vision,High Blood Pressure,Rash,Joint Pain,Unknown
Blurred Vision,Nausea,Shortness of Breath,Abdominal Pain,Chills,Skin Redness,High Blood Pressure,Unknown
Headache,Joint Pain,High Blood Pressure,Confusion,Ear Pain,Diarrhea,Abdominal Pain,Unknown
Skin Peeling,Nausea,Swollen Lymph Nodes,Loss of Smell,Rash,Muscle Pain,Shortness of Breath,Food Poisoning
Ear Pain,Nausea,Fever,Loss of Taste,Shortness of Breath,Loss of Appetite,Sweating,Meningitis
Rapid Heart Rate,Fever,Chills,Difficulty Swallowing,Skin Peeling,Headache,Nausea,Unknown
Sore Throat,Rapid Heart Rate,Diarrhea,Muscle Pain,High Blood Pressure,Chest Pain,Shortness of Breath,Scarlet Fever
Difficulty Swallowing,Ear Pain,Diarrhea,Confusion,Sore Throat,High Blood Pressure,Cough,Unknown
Dizziness,Vomiting,Cough,Loss of Taste,Loss of Smell,Confusion,Skin Redness,Unknown
Abdominal Pain,Fatigue,Ear Pain,Rapid Heart Rate,High Blood Pressure,Loss of Appetite,Loss of Smell,Unknown
Skin Redness,Abdominal Pain,Rapid Heart Rate,Sweating,Cough,Shortness of Breath,Headache,Dengue
Weakness,Nausea,Confusion,Headache,Loss of Taste,Difficulty Swallowing,Diarrhea,Dengue
Rapid Heart Rate,Blurred Vision,Sore Throat,Sweating,Shortness of Breath,Nausea,Skin Redness,COVID-19
Cough,Joint Pain,Headache,Abdominal Pain,Confusion,Loss of Taste,Rapid Heart Rate,Meningitis
Nausea,Difficulty Swallowing,Fever,Skin Redness,Confusion,Sweating,Cough,Pneumonia
Headache,Abdominal Pain,Muscle Pain,Loss of Taste,Runny Nose,High Blood Pressure,Fever,COVID-19
Muscle Pain,High Blood Pressure,Sweating,Headache,Confusion,Nausea,Loss of Taste,Malaria
Sweating,Vomiting,Shortness of Breath,Headache,Swollen Lymph Nodes,Diarrhea,Nausea,Malaria
Headache,Diarrhea,Fatigue,Chest Pain,Joint Pain,Difficulty Swallowing,Sore Throat,Hypertension
Joint Pain,Vomiting,Loss of Smell,Shortness of Breath,Ear Pain,Skin Peeling,Muscle Pain,Unknown
Muscle Pain,Loss of Appetite,Headache,Chills,Rash,Difficulty Swallowing,Blurred Vision,Typhoid
Low Blood Pressure,Skin Redness,Swollen Lymph Nodes,Cough,Rash,Blurred Vision,Fatigue,Flu
Cough,Sore Throat,Joint Pain,Abdominal Pain,Skin Peeling,Fatigue,Shortness of Breath,Unknown
Cough,Low Blood Pressure,Dizziness,Vomiting,Skin Peeling,Muscle Pain,Swollen Lymph Nodes,Scarlet Fever
Confusion,Ear Pain,Runny Nose,Loss of Appetite,Skin Redness,Rash,Fatigue,Scarlet Fever
Chest Pain,Chills,Weakness,Diarrhea,Ear Pain,Runny Nose,Loss of Smell,Unknown
Skin Peeling,Swollen Lymph Nodes,Runny Nose,Loss of Taste,Fatigue,Abdominal Pain,Chest Pain,Cold
Low Blood Pressure,Runny Nose,Fatigue,Shortness of Breath,Weakness,Rash,Joint Pain,Unknown
Shortness of Breath,Chest Pain,Skin Peeling,Loss of Taste,Swollen Lymph Nodes,Rash,Sweating,COVID-19
Skin Peeling,Chest Pain,Nausea,Chills,Cough,Joint Pain,Loss of Smell,Meningitis
Fever,Headache,Joint Pain,Cough,Difficulty Swallowing,Swollen Lymph Nodes,Nausea,Meningitis
Ear Pain,Skin Redness,Skin Peeling,Low Blood Pressure,Chest Pain,Fever,High Blood Pressure,Unknown
Sweating,Fatigue,Loss of Taste,Headache,Vomiting,Loss of Smell,Chills,Hypertension
Cough,Swollen Lymph Nodes,Headache,Difficulty Swallowing,Sore Throat,Skin Peeling,Loss of Appetite,Migraine
Joint Pain,Nausea,Loss of Appetite,Diarrhea,Rapid Heart Rate,Weakness,Sweating,Unknown
Dizziness,Nausea,Skin Redness,Blurred Vision,Rash,Abdominal Pain,Diarrhea,Food Poisoning
Dizziness,Runny Nose,Blurred Vision,Cough,Loss of Appetite,Ear Pain,Chest Pain,Migraine
Skin Redness,Dizziness,Weakness,Rapid Heart Rate,Ear Pain,Confusion,Runny Nose,Malaria
Skin Redness,Loss of Appetite,Nausea,Low Blood Pressure,Skin Peeling,Difficulty Swallowing,Chills,Typhoid
Loss of Smell,Difficulty Swallowing,Shortness of Breath,Nausea,High Blood Pressure,Chest Pain,Sweating,Meningitis
Dizziness,Blurred Vision,Joint Pain,Cough,Weakness,Loss of Smell,Rash,Pneumonia
Diarrhea,Swollen Lymph Nodes,Loss of Smell,Chills,Weakness,Dizziness,Muscle Pain,COVID-19
Nausea,Loss of Taste,Sore Throat,Skin Peeling,High Blood Pressure,Skin Redness,Swollen Lymph Nodes,Food Poisoning
Sore Throat,Sweating,Muscle Pain,Loss of Smell,Loss of Appetite,Shortness of Breath,Loss of Taste,Cold
Sweating,Blurred Vision,Ear Pain,Rapid Heart Rate,Runny Nose,Skin Redness,Shortness of Breath,COVID-19
Vomiting,Muscle Pain,Ear Pain,Low Blood Pressure,Difficulty Swallowing,Weakness,Diarrhea,Unknown
Diarrhea,Low Blood Pressure,Abdominal Pain,Skin Redness,Fever,Loss of Appetite,Rapid Heart Rate,Ear Infection
Blurred Vision,Chest Pain,Muscle Pain,Ear Pain,Confusion,Headache,Cough,Hypertension
Weakness,Vomiting,Fatigue,Swollen Lymph Nodes,Muscle Pain,Nausea,Rapid Heart Rate,Migraine
Fatigue,Difficulty Swallowing,Headache,Abdominal Pain,Blurred Vision,Joint Pain,Dizziness,COVID-19
Muscle Pain,Loss of Smell,Sore Throat,Shortness of Breath,Cough,Nausea,Swollen Lymph Nodes,Strep Throat
Headache,Nausea,Sweating,Cough,Shortness of Breath,Loss of Appetite,Rapid Heart Rate,Unknown
Weakness,Cough,Nausea,Rash,Skin Redness,Chest Pain,Shortness of Breath,Flu
Loss of Taste,Weakness,Nausea,Swollen Lymph Nodes,Confusion,Loss of Appetite,Loss of Smell,Typhoid
Rapid Heart Rate,Sweating,Ear Pain,Chest Pain,Low Blood Pressure,Fever,Diarrhea,Food Poisoning
Cough,Diarrhea,Vomiting,High Blood Pressure,Chills,Ear Pain,Difficulty Swallowing,Unknown
Nausea,Headache,Loss of Appetite,Low Blood Pressure,Blurred Vision,Sweating,Fever,Scarlet Fever
Low Blood Pressure,Loss of Taste,Sore Throat,Ear Pain,Rash,Runny Nose,Muscle Pain,Flu
Joint Pain,Runny Nose,Loss of Smell,Difficulty Swallowing,Swollen Lymph Nodes,High Blood Pressure,Shortness of Breath,Pneumonia
Sore Throat,Ear Pain,Joint Pain,Skin Peeling,Skin Redness,Confusion,Loss of Taste,COVID-19
Sore Throat,Sweating,Joint Pain,Weakness,Headache,Confusion,Chest Pain,Typhoid
Ear Pain,Difficulty Swallowing,Loss of Appetite,Shortness of Breath,Headache,Skin Redness,Fever,Strep Throat
Swollen Lymph Nodes,Runny Nose,Loss of Taste,Joint Pain,Chills,Confusion,Muscle Pain,Meningitis
Fatigue,Skin Redness,Confusion,Vomiting,Ear Pain,Fever,Skin Peeling,Malaria
Cough,Sweating,Joint Pain,Loss of Smell,Shortness of Breath,Fatigue,High Blood Pressure,Unknown
Blurred Vision,Weakness,Headache,Skin Peeling,Fatigue,Abdominal Pain,Sweating,Unknown
Sweating,High Blood Pressure,Muscle Pain,Diarrhea,Loss of Appetite,Shortness of Breath,Fever,Flu
Loss of Appetite,Skin Peeling,Chills,Low Blood Pressure,Chest Pain,Confusion,Joint Pain,Unknown
Rapid Heart Rate,Fever,Skin Peeling,Nausea,Low Blood Pressure,Dizziness,Loss of Taste,Malaria
Skin Redness,Shortness of Breath,Vomiting,Ear Pain,Joint Pain,Dizziness,Nausea,Unknown
Ear Pain,Chills,Shortness of Breath,Difficulty Swallowing,Blurred Vision,Vomiting,Dizziness,Food Poisoning
Blurred Vision,Nausea,Weakness,Muscle Pain,Diarrhea,Fatigue,Shortness of Breath,Unknown
Skin Redness,High Blood Pressure,Sweating,Dizziness,Fever,Shortness of Breath,Ear Pain,Scarlet Fever
Loss of Smell,Dizziness,Runny Nose,Headache,Difficulty Swallowing,Fatigue,Blurred Vision,Flu
Rapid Heart Rate,Joint Pain,Skin Peeling,Loss of Appetite,Chest Pain,Nausea,Sweating,Scarlet Fever
Skin Peeling,Weakness,Dizziness,Vomiting,Headache,Low Blood Pressure,Loss of Taste,Scarlet Fever
Diarrhea,Vomiting,Shortness of Breath,Runny Nose,Sore Throat,High Blood Pressure,Chest Pain,Pneumonia
Sweating,Skin Redness,Chills,Loss of Appetite,Abdominal Pain,Ear Pain,Rapid Heart Rate,Food Poisoning
Vomiting,Swollen Lymph Nodes,Blurred Vision,Shortness of Breath,Low Blood Pressure,Confusion,Dizziness,Unknown
Headache,Loss of Appetite,Low Blood Pressure,Sore Throat,Blurred Vision,Diarrhea,Runny Nose,Malaria
Nausea,Vomiting,Swollen Lymph Nodes,Loss of Smell,Abdominal Pain,Weakness,Muscle Pain,Meningitis
Cough,Sweating,Rash,Headache,Swollen Lymph Nodes,Skin Redness,High Blood Pressure,Migraine
Shortness of Breath,Skin Peeling,Difficulty Swallowing,Fever,Blurred Vision,Vomiting,Muscle Pain,Migraine
Fatigue,High Blood Pressure,Fever,Loss of Smell,Shortness of Breath,Confusion,Chills,Flu
Swollen Lymph Nodes,Diarrhea,Dizziness,Nausea,Rapid Heart Rate,Ear Pain,Fever,Meningitis
